timestamp,jobid,state,prog,p,n,rep,seconds,ok,note
1765807348,83662,COMPLETED,floyd_chk,9,3000,2,11.886540,True,OK
1765807358,83663,COMPLETED,floyd_chk,9,3000,3,11.914120,True,OK
1765807368,83664,COMPLETED,floyd_chk,16,3000,1,6.750120,True,OK
1765807379,83665,COMPLETED,floyd_chk,16,3000,2,6.738870,True,OK
1765807389,83666,COMPLETED,floyd_chk,16,3000,3,6.738440,True,OK
1765807399,83667,COMPLETED,floyd_chk,25,3000,1,4.463650,True,OK
1765807409,83668,COMPLETED,floyd_chk,25,3000,2,4.473610,True,OK
1765807420,83669,COMPLETED,floyd_chk,25,3000,3,4.477580,True,OK
1765807430,83670,COMPLETED,floyd_chk,36,3000,1,3.151150,True,OK
1765807440,83671,COMPLETED,floyd_chk,36,3000,2,3.196470,True,OK
1765807450,83672,COMPLETED,floyd_chk,36,3000,3,3.185630,True,OK
1765807581,83673,COMPLETED,floyd_chk,1,4020,1,121.985190,True,OK
1765807591,83674,COMPLETED,floyd_chk,1,4020,2,121.366770,True,OK
1765807671,83676,COMPLETED,floyd_chk,4,4020,1,60.828380,True,OK
1765807722,83675,COMPLETED,floyd_chk,1,4020,3,122.078570,True,OK
1765807752,83677,COMPLETED,floyd_chk,4,4020,2,60.723770,True,OK
1765807802,83678,COMPLETED,floyd_chk,4,4020,3,62.129040,True,OK
1765807803,83679,COMPLETED,floyd_chk,9,4020,1,28.270850,True,OK
1765807853,83680,COMPLETED,floyd_chk,9,4020,2,28.571150,True,OK
1765807853,83681,COMPLETED,floyd_chk,9,4020,3,28.529920,True,OK
1765807884,83682,COMPLETED,floyd_chk,16,4020,1,16.187050,True,OK
1765807884,83683,COMPLETED,floyd_chk,16,4020,2,16.143660,True,OK
1765807914,83684,COMPLETED,floyd_chk,16,4020,3,16.180300,True,OK
1765807914,83685,COMPLETED,floyd_chk,25,4020,1,10.529630,True,OK
1765807945,83686,COMPLETED,floyd_chk,25,4020,2,10.708320,True,OK
1765807945,83687,COMPLETED,floyd_chk,25,4020,3,10.690710,True,OK
1765807975,83688,COMPLETED,floyd_chk,36,4020,1,7.528580,True,OK
1765807985,83689,COMPLETED,floyd_chk,36,4020,2,7.545410,True,OK
1765807996,83690,COMPLETED,floyd_chk,36,4020,3,7.516370,True,OK
1765808407,83691,COMPLETED,floyd_chk,1,6000,1,400.679280,True,OK
1765808407,83692,COMPLETED,floyd_chk,1,6000,2,397.931620,True,OK
1765808628,83694,COMPLETED,floyd_chk,4,6000,1,199.440470,True,OK
1765808829,83693,COMPLETED,floyd_chk,1,6000,3,404.816050,True,OK
1765808849,83695,COMPLETED,floyd_chk,4,6000,2,199.201940,True,OK
1765808960,83697,COMPLETED,floyd_chk,9,6000,1,92.831490,True,OK
1765809050,83696,COMPLETED,floyd_chk,4,6000,3,207.079470,True,OK
1765809070,83698,COMPLETED,floyd_chk,9,6000,2,92.900790,True,OK
1765809145,83700,COMPLETED,floyd_chk,16,6000,1,53.328440,True,OK
1765809165,83699,COMPLETED,floyd_chk,9,6000,3,93.669160,True,OK
1765809215,83701,COMPLETED,floyd_chk,16,6000,2,53.107500,True,OK
1765809236,83702,COMPLETED,floyd_chk,16,6000,3,53.156130,True,OK
1765809266,83703,COMPLETED,floyd_chk,25,6000,1,34.522760,True,OK
1765809287,83704,COMPLETED,floyd_chk,25,6000,2,34.554140,True,OK
1765809317,83705,COMPLETED,floyd_chk,25,6000,3,34.766590,True,OK
1765809328,83706,COMPLETED,floyd_chk,36,6000,1,24.274660,True,OK
1765809358,83707,COMPLETED,floyd_chk,36,6000,2,24.223770,True,OK
1765809388,83708,COMPLETED,floyd_chk,36,6000,3,24.127920,True,OK
